epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.2373,1.42495,3.32253,1.25004,0.58918,0.51575,0.30563,0.18219,1.33045,2.36167,1.00152,0.000474782,0.000474782,0.000474782
2,146.961,1.35015,2.04023,1.21115,0.40081,0.58832,0.4101,0.27487,1.17999,1.83327,1.02129,0.000904035,0.000904035,0.000904035
3,199.767,1.34137,1.61657,1.22413,0.40295,0.62785,0.47567,0.30835,1.1561,1.62238,1.03139,0.00128613,0.00128613,0.00128613
4,253.273,1.27133,1.43702,1.18626,0.33454,0.8734,0.55872,0.38117,1.13711,1.34615,0.99637,0.00121679,0.00121679,0.00121679
5,305.351,1.19822,1.31215,1.15347,0.42923,0.8921,0.54945,0.35955,1.02204,1.22665,0.92611,0.00114606,0.00114606,0.00114606
6,357.496,1.16748,1.22845,1.13806,0.43881,0.74496,0.53008,0.36354,1.06134,1.31099,0.94551,0.00107532,0.00107532,0.00107532
7,409.787,1.09173,1.15729,1.09867,0.43818,0.9229,0.57802,0.41432,0.98888,1.12303,0.91613,0.00100459,0.00100459,0.00100459
8,462.121,1.05553,1.11756,1.08508,0.45192,0.90547,0.61184,0.41916,1.04959,1.2225,0.92072,0.000933851,0.000933851,0.000933851
9,516.406,1.02936,1.09112,1.07862,0.46724,0.86857,0.58814,0.39677,1.15647,1.27167,0.98805,0.000863116,0.000863116,0.000863116
10,569.36,1.0204,1.06696,1.0741,0.44819,0.94342,0.67619,0.50315,0.90034,1.14557,0.88785,0.00079238,0.00079238,0.00079238
11,666.592,0.88492,0.92492,0.99938,0.47509,0.9269,0.63178,0.48586,0.88368,1.15227,0.9028,0.000721645,0.000721645,0.000721645
12,718.905,0.85307,0.87693,0.98754,0.45194,0.89493,0.62606,0.45053,1.06679,1.15773,0.97737,0.000650909,0.000650909,0.000650909
13,771.587,0.81938,0.84167,0.96674,0.44767,0.98913,0.65649,0.50551,0.86446,1.11731,0.89755,0.000580174,0.000580174,0.000580174
14,823.482,0.80047,0.82553,0.96317,0.48685,0.95017,0.65532,0.43434,1.13984,1.16736,1.00283,0.000509438,0.000509438,0.000509438
15,876.323,0.76318,0.79783,0.94446,0.45162,0.91198,0.66975,0.51525,0.85671,1.05019,0.89192,0.000438703,0.000438703,0.000438703
16,928.524,0.73968,0.78236,0.93986,0.50582,0.9708,0.66367,0.54195,0.79206,1.0147,0.87112,0.000367967,0.000367967,0.000367967
17,979.674,0.70515,0.75729,0.92943,0.50178,0.96691,0.68692,0.54897,0.8509,1.06232,0.89056,0.000297232,0.000297232,0.000297232
18,1032.06,0.6875,0.73624,0.91963,0.51409,0.96691,0.67637,0.53788,0.75578,1.03018,0.86632,0.000226497,0.000226497,0.000226497
19,1083.8,0.65562,0.71702,0.91038,0.49813,0.97053,0.66688,0.53757,0.81588,1.02403,0.88848,0.000155761,0.000155761,0.000155761
20,1136.2,0.63194,0.70743,0.90491,0.50756,0.96691,0.67814,0.53645,0.82291,1.02488,0.87061,8.50255e-05,8.50255e-05,8.50255e-05
